room_type,price,minimum_nights,neighborhood_id,host_id,listing_name,listing_id
Entire home/apt,127,30,102,48005494,1 Bedroom Seattle Condo near Capital,31888796
Entire home/apt,250,30,106,17342935,1 Bedroom Suite near Downtown Seattle & Swedish,3441487
Entire home/apt,100,3,102,43811,1 bedroom w/parking on Capitol Hill(walk score 91),25894869
Entire home/apt,104,30,129,6680836,"1 Bedroom, 800 SqFt Apt, U.District/Wallingford",3254956
Entire home/apt,298,2,136,65158746,1 block from the Beach! Clean&Modern 3BR Townhouse,42695194
Entire home/apt,94,2,117,3074414,1 block to Green Lake & Super convenient 2,49254280
Entire home/apt,88,30,117,3074414,1 block to Green Lake Quiet &  Super convenient 10,34264537
Entire home/apt,84,30,117,3074414,1 block to Green Lake Quiet & Super convenient 6,46058912
Entire home/apt,158,1,106,397766412,1 BR City View Condo With Free Parking,50821988
Private room,125,30,106,25147083,1 BR in between downtown and Capitol Hill,19364598
Entire home/apt,1250,30,104,13960065,1 month Madrona cottage. Begin Sept 5th. $1250 mo.,7660932
Entire home/apt,169,1,104,398317720,"10 mins walk from Seattle U, BRAND NEW & Modern, Pet Friendly w/ A/C!",53816253
Entire home/apt,125,2,118,2593671,1000 sq ft Modern Lower-level Apt,6445769
Entire home/apt,173,6,106,104834083,"12th-Floor Condo in Downtown Location w/Private Balcony, City Views, Shared Pool",52857385
Entire home/apt,175,6,106,104834083,14th Floor Condo with Wifi & Shared Pool and Hot Tub - Amazing Location,54243179
Entire home/apt,274,2,106,104834083,"14th-Floor Condo in Downtown Seattle W/ City Views, Shared Rooftop Deck & WiFi!",52857376
Entire home/apt,195,2,136,26017435,"180 degree, unobstructed bluff view!",7257457
Entire home/apt,246,2,136,34656171,1904 Queen Anne Style Home,7278583
Entire home/apt,115,7,133,2536735,1908 Farm Style Home Near Light Rail,39230471
Entire home/apt,175,108,132,31037494,1914 Stunner View Ocean Mountain,5978498
Entire home/apt,262,3,132,86157147,1920's Bungalow with Space Needle View,37183033
Entire home/apt,113,30,115,24745881,1920s Craftsman Home in Wallingford/Fremont,46392892
Entire home/apt,87,2,104,6047879,"1BD Apt near Downtown, UW, Cap Hill",4760472
Entire home/apt,126,3,106,263945439,1BD Ideally Located Modern Condo,54294970
Entire home/apt,139,3,106,263243483,"1BD/Seattle - Suite w/Wi-Fi, Pool, Hot Tub, BBQ",53879124
Entire home/apt,100,2,118,47595129,1-Bdrm Apt Perfect for Vacation or Teleworking,19766392
Entire home/apt,89,1,133,129468832,1Bed Guest House near everything you need,49178027
